2026 공간풀숲 전시 정성자료,,,,,,,,,,,,,,,,,,,
,전시명,유형,내용,출처,기간,,,,,,,,,,,,,,
18,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,사라지는 꽃과 자연을 지키기위해 노력을 경주하고 있는 친구에게 경의를 표합니다.,방명록,26.03.04 - 26.04.04,,,,,,,,,,,,,,
19,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,자연의 순간을 사진으로 담아주셔서 감사하고 전시회 축하합니다. ,방명록,26.03.04 - 26.04.04,,,,,,,,,,,,,,
20,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,"현진오 박사님, 그 식물을 그 식물답게 담아낸 훌륭한 사진들 잘 보고 갑니다. 현박사님만이 가질 수 있는 시선이라고 생각됩니다. 외국출장으로 마지막날 겨우 발걸음했지만, 오기를 잘했습니다. 축하드리며, 그간의 노고에 감사드립니다.",방명록,26.03.04 - 26.04.04,,,,,,,,,,,,,,
21,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,아름다운 명산 속에 숨어 숨쉬는 우리 꽃을 찾는 당신께 감사드립니다. ,방명록,26.03.04 - 26.04.04,,,,,,,,,,,,,,
22,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,흘러야 강이다.,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
23,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,"생명의 강, 시민의 강!",방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
24,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,이제 보여줄 시간이네요.,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
25,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,"이제, 우리가 흐르게 하겠습니다. 고맙습니다. ",방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
26,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,이제 우리가 흐르지 않는 강을 흐르게 만들겠습니다.,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
27,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,한강 4대강을 살리자,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
28,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,전시 축하드립니다. 한강 4대강에 대한 역사적 증언에 깊이 공감합니다. ,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
29,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,우리의 4대강이 꼭 살아 나길 기원합니다. 전시 축하드립니다. ,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
30,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,힘내라! 맑은 강!,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
31,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,"""흐르지 않는 강"" 인간 중심의 개발... 자연과 공존해야 할 우리의 삶을 다시 생각해 봅니다. 뜻깊은 전시 감사드립니다. ",방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
32,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,강은 흘러야 강이다!!,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
33,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,흐르지 않는 강을 흐르게 하라,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
34,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,강의 기록 험난하고 열정적인 잘 보고 갑니다!!,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
35,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,흑흑 슬프지만 다시 강이 흐를 날이 오겠지요...!,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
36,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,김 작가님 다시보니 반가운 것처럼 4대강도 그대로 옛날처럼 다시 봤으면!,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
37,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,강이 흐르는 그 날까지,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
38,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,"사진을 보면서 김원 박사님의 마음. 그리고 그 마음에 따라 행동한 세월이 저 또한 움직였어요. 사진으로 제게 걸어 주신 말 오래 기억하고, 다른 사람에게 전하겠습니다. ",방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
39,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,흐르지 않는 강 다시는 두 번 다시 이런 잘못이 없기를 기원합니다. ,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
40,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,김원 작가님! 작가님의 용기 존경합니다.,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
41,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,전시 축하드립니다. 금빛 모래가 그리워지는 그 시점이 생각납니다.,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
42,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,"김원 작가님, 전시 축하드립니다! 보고 싶었던 사진전이었습니다. 지록 사진 남겨주셔서 감사합니다.",방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
43,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,한결같음'과 '다움'에 존경을 표합니다.,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
44,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,제가 아는 가장 멋진 예술인 - 김원 박사님의 사진전을 축하드립니다. 앞으로 더 멋진 사진을 찍으시길 바라요,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
45,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,기록 남겨주셔서 감사합니다. 귀한 사진 잘 보고 갑니다. 강이 빨리 원래 모습으로 돌아오길 바랄 뿐입니다.,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
46,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,보이지 않았던 역사를 보고 갑니다. 감사합니다.,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
47,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,생명의 줄이 돈줄로 전락한 생생한 기록이네요.,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
48,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,흐르지 않는 강'을 보여주셔서 감사합니다. ,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
49,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,흐르지 않는 강! 가슴이 아픕니다. 강이 다시 흐르는 그날이 속히 오길 기원합니다.,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
50,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,"흐르지 않는 강이 다시 흐르길 간절히 바라는 마음으로 뜻깊은 기록, 감사합니다.",방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
51,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,강이 다시 흐르는 그날까지 멈추지 않는 노력 감사합니다.,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
52,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,흐르지 않는 강은 죽음이다. 고맙습니다.,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
53,흐르지 않는 강: 김원의 4대강 기록,관람객 후기,감독적입니다. 귀한 기록해주셔서 감사합니다.,방명록,26.04.11 - 26.04.25,,,,,,,,,,,,,,
54,"평화여, 멀구나",관람객 후기,수라갯벌의 감동. 슬픔이 다 담긴 전시 잘 보고 가요.,방명록,26.05.26 - 26.06.07,,,,,,,,,,,,,,
55,"평화여, 멀구나",관람객 후기,마음을 울리는 전시 잘 보았습니다.,방명록,26.05.26 - 26.06.07,,,,,,,,,,,,,,
56,"평화여, 멀구나",관람객 후기,신부님 축하드립니다. 이 좋은 작품 이리 많이 하셨네요. 건강하시고 행복하세요 기도합니다!,방명록,26.05.26 - 26.06.07,,,,,,,,,,,,,,
57,"평화여, 멀구나",관람객 후기,저도 함께 생명의 길을 걷겠습니다. 기도와 응원 드립니다.,방명록,26.05.26 - 26.06.07,,,,,,,,,,,,,,
58,"평화여, 멀구나",관람객 후기,아름다운 활동 마음다해 응원합니다. ,방명록,26.05.26 - 26.06.07,,,,,,,,,,,,,,
59,"평화여, 멀구나",관람객 후기,기나긴 여정속에 신부님의 잘자취를 보며 새삼 과거를 현재를 미래를 생각합니다.,방명록,26.05.26 - 26.06.07,,,,,,,,,,,,,,
60,"평화여, 멀구나",관람객 후기,평화여 멀구나. 여기서는 보이지도 않는구나. 그럼에도 멈출 수 없고. 이 문장이 내내 남네요. 강정에서 군산 이 전시까지 보고 갑니다.,방명록,26.05.26 - 26.06.07,,,,,,,,,,,,,,
61,"평화여, 멀구나",관람객 후기,웃으면서 끝까지 함께 투쟁,방명록,26.05.26 - 26.06.07,,,,,,,,,,,,,,
62,"평화여, 멀구나",관람객 후기,둥지에서 더 많은 둥지들이 함께 하길,방명록,26.05.26 - 26.06.07,,,,,,,,,,,,,,
63,"평화여, 멀구나",관람객 후기,옥봉생태평화센터 건립에 함께 할게요.,방명록,26.05.26 - 26.06.07,,,,,,,,,,,,,,
64,"평화여, 멀구나",관람객 후기,하제팽나무님. 600년의 평화!,방명록,26.05.26 - 26.06.07,,,,,,,,,,,,,,
65,"평화여, 멀구나",관람객 후기,"""함께 할게요""",방명록,26.05.26 - 26.06.07,,,,,,,,,,,,,,
66,오랜 정원에서,관람객 후기,오랜 정원에서 아름다운 식물 초상을 잘 보고 갑니다. 축하드립니다.,방명록,26.06.11 - 26.06.27,,,,,,,,,,,,,,
67,오랜 정원에서,관람객 후기,전시를 축하합니다.,방명록,26.06.11 - 26.06.27,,,,,,,,,,,,,,
72,오랜 정원에서,관람객 후기,"멋진 전시 잘 보고 가용,,, ",방명록,26.06.11 - 26.06.27,,,,,,,,,,,,,,
73,오랜 정원에서,관람객 후기,사진 정말 너무 멋지고 최고예요,방명록,26.06.11 - 26.06.27,,,,,,,,,,,,,,
74,오랜 정원에서,관람객 후기,그림 같은 사진이라는 걸 눈으로 본 날입니다. 고맙습니다!,방명록,26.06.11 - 26.06.27,,,,,,,,,,,,,,
75,오랜 정원에서,관람객 후기,제가 보는 사진은 항상 새롭습니다. 잘 감상했습니다.,방명록,26.06.11 - 26.06.27,,,,,,,,,,,,,,
90,오랜 정원에서,관람객 후기,식물을 식물이 갖고 있는 비밀스러움을 신비롭게 발표하신 작품. 같은 사진 작업하는 사람으로 감사합니다.,방명록,26.06.11 - 26.06.27,,,,,,,,,,,,,,
91,오랜 정원에서,관람객 후기,작품을 감상하며 식물이 가진 기억과 이야기들을 재미있게 나누고 갑니다. 좋은 작품 감사합니다. ,방명록,26.06.11 - 26.06.27,,,,,,,,,,,,,,
92,"평화여, 멀구나",작가 후기,집 짓는 데 도움이 되고자 전시를 하는 건데 그런 목적이 전혀 없었는데 그동안에 해놓은 것들이 그게 쌓여 있으니까 어떻게 이렇게 많이 있는지도 몰랐고 그 우리 식구들이 아이고 집을 짓는데 좀 도움이 되기 위해서 전시를 하면 어떠냐 그래서 못 이긴 척하고 이렇게 이야기됐는데 꽤 많죠.하루 한 500쯤 되는 것 같아 작은 것들도 있고 그래서 참 도움이 됐으면 좋겠어.,김원 작가 인터뷰,26.05.26 - 26.06.07,,,,,,,,,,,,,,
93,"평화여, 멀구나",작가 후기,장소가 너무 좋아서 좋아.,김원 작가 인터뷰,26.05.26 - 26.06.07,,,,,,,,,,,,,,
94,"평화여, 멀구나",관람객 후기,"역시 풀숲!! 대추리, 새만금에서 함께했던 시간들을 눈으로 봤어야했는데 놓쳐서 너무 아쉽네요 ㅠㅠ
앞으로도 멋진 전시 부탁드립니다!",sns 댓글,26.05.26 - 26.06.07,https://www.instagram.com/p/DZJKt0plDY5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,,,,,,,,,,
95,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",관람객 후기,저도갔다왔는데 너무 좋았습니다!,sns 댓글,26.03.04 - 26.04.04,https://www.instagram.com/p/DWnjPK4FXYy/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,,,,,,,,,,
96,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",담당자 기록,박사님 책 중 <설악산 생태여행>은 등산코스와 가면서 볼 수 있는 다양한 들꽃들이 나와 있다. 이런 가이드와 함께라면 더 풍요롭고 든든한 여행이 될 것 같다.,펠로우 인터뷰,26.03.04 - 26.04.04,https://www.instagram.com/p/DWnjPK4FXYy/?img_index=1,,,,,,,,,,,,,
97,"평화여, 멀구나",관람객 후기,우와~ 평화바람이 전시도 하는군요! 대환영!!👏👏👏,sns 댓글,26.05.26 - 26.06.07,https://www.instagram.com/p/DU-KP4ujYpU/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,,,,,,,,,,
98,시소리동굴,작가 후기,"《시소리동굴》은 생태와 환경을 주제로 한 참여형 작업의 가능성을 확인하고, 공간 운영진 및 관람객과의 협업을 통해 전시가 함께 만들어지는 과정의 가치를 깊이 체감한 전시였습니다.","백지현 작가
인터뷰",26.05.12 - 26.05.22,,,,,,,,,,,,,,
99,시소리동굴,작가 후기,"《시소리동굴》은 생태와 환경을 주제로 한 참여형 작업의 가능성을 확인하고, 공간 운영진 및 관람객과의 협업을 통해 전시가 함께 만들어지는 과정의 가치를 깊이 체감한 전시였습니다.","주형지 작가
인터뷰",26.05.12 - 26.05.22,,,,,,,,,,,,,,
100,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",작가 후기,"멸종위기식물 기록을 시민들과 공유하고 오랜 동료들과 재회하며, 평생의 사진 기록을 환경아카이브로 남길 계기를 마련한 뜻깊은 전시였습니다.","현진오 작가
인터뷰",26.03.04 - 26.04.04,,,,,,,,,,,,,,
101,두 번째 살갗: 303.8ha,관람객 후기,전시장에 들어오니 사람과 바다냄새가 나내요! 축하드립니다,,,,,,,,,,,,,,,,
102,두 번째 살갗: 303.8ha,관람객 후기,숨비소리가 들려요,,,,,,,,,,,,,,,,
